Core ID,yircr12s,yircr13s,yircr16s,yircr18s,yircr19s,yirbh34s,yirbh35s,yirbh37s,yirbh38s,yirbh39s,yirww48s,yirww49s,yirww51s,yirww54s,yirww56s,yirbs65s,yirbs67s,yirbs69s,yirbs74s,yores01s,yores02s,yores03s,yores44s,yores46s,yorar05s,yorar06s,yorar09s,yorar10s,yorcf21s,yorcf26s,yorcf27s,yorcf28s,yorcf30s,yorfr58s,yorfr59s,yorfr61s,yorfr62s,yorfr63s,yircr14p,yircr15p,yircr17p,yircr20p,yirbh36p,yirbh40p,yirbh41p,yirbh42p,yirbh43p,yirww47p,yirww50p,yirww52p,yirww53p,yirww55p,yirbs66p,yirbs70p,yirbs71p,yirbs72p,yirbs73p,yorar04p,yorar07p,yorar08p,yorcf23p,yorcf31p,yorcf32p,yorcf33p,yorfr57p,yorfr60p,yorfr64p
1994,0.3471,0.4324,0.4599,0.4084,0.4868,0.4367,0.3802,0.3024,0.22,0.3843,0.3348,0.4445,0.482,0.4068,0.3614,,0.3492,0.3175,0.4905,0.3925,0.3709,0.3236,0.1506,0.4688,0.3511,0.5666,0.2833,0.3692,0.3651,0.4152,0.4266,0.4385,0.5322,0.3531,0.1737,,0.3497,0.4965,0.5281,0.717,0.4381,0.5556,0.5025,0.4292,0.6923,0.4819,0.391,0.3647,0.4638,0.5375,0.3153,0.2252,0.2995,0.4616,0.3256,0.6624,,0.7326,0.6941,0.521,0.4262,0.4663,0.4225,0.3593,,,0.3519
1993,0.3967,0.2386,0.477,0.3797,0.5032,0.2991,0.315,0.2192,0.2311,0.3098,0.3011,0.4658,0.4726,0.428,0.3564,,0.3461,0.2422,0.3444,0.4535,0.4663,0.2711,0.2374,0.4185,0.2249,0.4196,0.3149,0.3505,0.3314,0.3782,0.5057,0.4882,0.498,0.347,,,0.3807,0.5163,0.4953,0.6777,0.3459,0.7175,0.6427,0.4292,0.6087,0.4091,0.3153,0.6322,0.4213,,0.3233,0.3012,0.4218,0.5229,0.404,0.4868,,0.6138,0.5515,0.5475,0.6592,0.4931,0.4345,0.3449,,,0.5084
1992,0.3558,0.3429,0.3881,0.3669,0.4495,0.356,0.3365,0.2821,0.2506,0.3128,0.3374,0.4504,0.507,0.54,0.3481,,0.4349,0.2933,0.4174,0.4965,0.3163,0.2274,0.359,0.4464,0.3005,0.5146,0.2648,0.3535,0.3252,0.4352,0.5057,0.2894,0.4924,0.2542,,,0.454,0.3745,0.3193,0.645,0.3365,0.6136,0.6101,0.3489,0.7238,0.3867,0.2243,0.5344,0.4186,,0.2944,0.2039,0.4025,0.4454,0.3144,0.4172,,0.4609,0.5593,0.4783,0.5794,0.4456,0.4644,0.4054,,,0.4642
1991,0.4171,0.3161,0.4109,0.3924,0.5317,0.2213,0.282,0.2892,0.2478,0.3069,0.3401,0.4075,0.5727,0.4824,0.4146,,0.4254,0.2718,0.4963,0.3947,0.3245,0.2739,0.4372,0.4802,0.2312,0.4656,0.3052,0.2668,0.3805,0.4051,0.4109,0.2631,0.5409,0.3053,,,0.3807,0.6326,0.361,0.7005,,0.4774,0.4796,0.3829,,0.4253,0.2745,0.6255,0.4922,,0.3422,0.2525,0.4153,0.5132,,0.6488,,0.5252,0.4999,0.4138,0.6026,0.4716,0.3855,0.6904,,,
1990,0.4259,0.3161,0.4283,0.3828,0.5341,0.3889,0.291,0.4077,0.22,0.3277,0.2466,0.3738,0.4882,0.5044,0.4013,,0.327,0.4763,0.5029,0.3976,0.3954,0.4416,0.1998,0.4294,0.4658,0.4135,0.2552,0.3113,0.2209,0.4049,0.4741,0.3859,0.5954,0.3857,,,0.5217,0.4511,0.37,0.8439,,0.6077,0.4655,0.4848,,0.419,0.5247,0.5671,0.527,,0.4082,0.2252,0.3381,0.4002,,0.5239,,0.6198,0.5318,0.5542,0.5094,0.5102,0.4401,0.3596,,,
1989,0.4533,0.3906,0.4254,0.2999,0.4157,0.5444,0.3108,0.3223,0.206,0.3516,,0.3409,0.5476,0.5181,0.3109,,0.4414,0.2469,0.402,0.4484,0.48,0.3115,0.2693,0.4774,0.3402,0.4334,0.2933,0.3459,0.1718,0.3683,0.4614,0.4706,0.6125,0.299,,,0.489,0.6241,0.4058,0.6678,,0.6908,0.5409,0.3972,0.6123,0.4737,0.4853,0.4887,0.4507,,0.3186,0.2677,0.3446,0.4938,,0.5796,,0.6196,0.4805,0.4716,0.6092,0.4716,0.4961,0.38,,,
1988,0.3591,0.3161,0.4167,0.3159,0.4336,0.4188,0.3551,0.3279,0.2589,0.3009,,0.3817,0.4978,0.5482,0.348,,0.3683,0.1921,0.4264,0.361,0.3845,0.3115,0.2548,0.5169,0.1982,0.4365,0.31,0.3363,0.3436,0.3815,0.4456,0.4999,0.589,0.2957,,,0.5634,0.5759,0.3372,0.8015,,0.6016,0.6524,0.3846,0.581,0.5027,0.3662,0.6204,0.4305,,0.3882,0.2039,0.413,0.4842,,0.6811,,0.5892,0.4952,0.5055,0.576,0.4152,0.5163,0.3626,,,
1987,0.4415,0.3459,0.437,0.3833,0.4272,0.4547,,0.463,0.2478,0.2771,,0.4587,0.4179,0.5071,0.488,,0.3175,0.1892,0.4386,0.4372,0.3845,0.372,0.2403,0.5254,0.2874,0.4426,0.3052,0.3272,0.3545,0.3716,0.4393,0.4677,0.5773,0.3599,,,0.4557,0.4539,0.3252,0.8502,,0.5636,0.5639,0.3625,0.839,0.3996,0.5158,0.6154,0.3292,,0.3534,0.2222,,0.51,,0.5272,,0.5312,0.5707,0.5363,0.6525,0.4805,0.3891,0.4322,,,
1986,0.3238,0.4294,0.4196,0.3896,0.5801,0.2782,,0.3224,0.3007,0.438,0.3458,0.4027,0.544,0.5071,0.3404,,0.3588,0.2332,0.451,0.4653,0.4481,,0.2577,0.5198,0.3236,0.4457,0.3433,0.3676,0.3913,0.3682,0.3951,0.4502,0.5272,,,,0.3793,0.4709,0.3879,0.6973,0.3662,0.7058,0.5573,0.372,0.858,0.4609,0.3294,0.5166,0.3348,,0.3309,0.2099,0.4309,0.4422,,0.5664,,0.629,0.5525,0.5544,0.546,0.433,0.4315,0.3103,,,
1985,0.3385,0.3489,0.3328,0.3195,0.4781,0.3978,,0.3729,0.2729,0.3188,0.266,0.4211,0.3934,0.4286,0.3616,,0.3112,0.2169,0.375,0.4033,0.4488,,0.1766,0.4972,0.2413,0.3258,0.36,0.3241,0.3947,0.3217,0.4062,0.4852,0.6273,,,,0.4275,0.4653,0.361,0.6875,0.3636,0.6849,0.5147,0.3215,0.7995,0.5316,0.3752,0.557,0.352,,0.2804,0.2708,0.3918,0.4874,0.3919,0.5533,,0.4762,0.4909,0.5274,0.4461,0.4271,0.4338,0.3915,,,
1984,0.2796,0.3101,0.3588,0.4024,0.4151,0.353,,0.2983,0.2701,0.3903,0.282,0.3197,0.6237,0.6724,0.3453,,0.2955,0.2087,0.3533,0.4033,0.3423,,0.2374,0.3983,0.2477,0.4426,0.3903,0.2927,0.3081,0.3448,0.3475,0.5057,0.7359,,,,,0.4285,,0.7265,0.3344,0.6678,0.6556,0.3499,0.7102,0.4802,0.3968,0.5368,0.3525,,0.3118,0.283,0.3724,0.4293,0.3375,0.6123,,0.5281,0.646,0.497,0.4928,0.4152,0.419,0.4061,,,
1983,0.3179,0.2624,0.2923,0.2172,0.4272,0.2094,,0.374,0.3258,0.3099,0.3431,0.4795,0.5831,0.4519,0.29,,0.3579,0.2661,0.3747,0.4821,0.3613,,0.1621,0.3729,0.2014,0.3688,0.2644,0.3614,0.3395,0.3315,0.3728,0.342,0.3688,0.348,,,,0.4428,,0.7233,0.5185,0.7746,0.5376,0.435,0.6342,0.4317,0.4083,0.4787,,,0.312,0.2069,0.4303,0.5229,0.335,0.6286,,0.6536,0.4612,0.4703,0.574,0.4508,0.3328,0.3481,,,
1982,0.3355,0.4473,0.3878,0.2012,0.5801,0.323,,0.3353,0.284,0.3218,0.3325,0.4365,0.4607,0.4192,0.4217,,0.371,0.2496,0.3889,0.4415,0.2848,,0.3358,0.4576,0.2147,0.3443,0.3177,0.2848,0.3541,0.4115,0.3537,0.38,0.3508,0.3033,,,,0.4967,,0.7265,0.3088,0.6558,0.4589,0.4255,0.848,0.4221,0.4213,0.4811,,,0.3803,0.2374,0.3885,0.4809,0.3548,0.5861,,0.6416,0.4182,0.4744,0.5508,0.4835,0.4731,0.4148,,,
1981,0.3208,0.2982,0.6019,0.3227,0.4612,0.3709,,0.3768,0.2311,0.3516,0.3378,0.4175,0.52,0.3784,0.3348,,0.2988,0.2882,0.3725,0.4422,0.2847,,0.2722,0.4689,0.2445,0.3934,0.3177,0.34,0.336,0.3749,0.3474,0.3975,0.2849,0.3356,,,,0.491,0.4287,0.7184,0.3908,0.6954,0.4426,0.353,0.721,0.5026,0.474,0.4658,,,0.3478,0.2008,0.3593,0.3938,0.3661,0.5238,,0.5509,0.4619,0.4237,0.4578,0.436,0.5278,0.4032,,,
